iter	Passed	Remaining
0	4	1814
1	9	1824
2	12	1701
3	18	1872
4	24	1936
5	28	1897
6	32	1834
7	36	1807
8	40	1772
9	44	1735
10	48	1700
11	51	1670
12	54	1632
13	58	1609
14	62	1594
15	65	1567
16	68	1548
17	71	1521
18	74	1498
19	77	1478
20	80	1461
21	84	1447
22	87	1427
23	90	1413
24	92	1392
25	95	1379
26	98	1361
27	101	1348
28	104	1340
29	107	1328
30	110	1314
31	113	1300
32	115	1289
33	119	1281
34	121	1269
35	125	1266
36	128	1255
37	130	1246
38	133	1237
39	136	1231
40	140	1227
41	142	1217
42	145	1205
43	147	1194
44	150	1187
45	153	1179
46	155	1168
47	157	1157
48	159	1145
49	162	1134
50	164	1126
51	166	1117
52	169	1107
53	171	1098
54	173	1088
55	175	1078
56	177	1069
57	180	1063
58	182	1056
59	184	1047
60	186	1039
61	189	1032
62	191	1024
63	193	1016
64	196	1011
65	198	1005
66	200	998
67	203	991
68	205	984
69	207	977
70	209	971
71	212	966
72	214	960
73	216	953
74	218	947
75	220	940
76	222	934
77	224	928
78	227	922
79	229	916
80	231	910
81	233	905
82	235	899
83	237	894
84	240	890
85	242	885
86	244	881
87	247	875
88	249	870
89	251	865
90	253	862
91	256	858
92	258	854
93	261	850
94	263	847
95	266	842
96	268	837
97	270	834
98	273	831
99	275	827
100	277	822
101	280	818
102	282	813
103	284	809
104	287	806
105	289	802
106	291	798
107	293	794
108	295	790
109	297	785
110	300	781
111	302	777
112	304	773
113	306	769
114	309	766
115	311	762
116	313	758
117	316	755
118	318	751
119	320	747
120	322	744
121	325	740
122	327	737
123	329	733
124	332	731
125	336	730
126	338	727
127	341	724
128	343	720
129	345	717
130	347	713
131	349	709
132	351	706
133	353	702
134	356	699
135	358	695
136	361	693
137	363	690
138	366	687
139	368	685
140	371	681
141	373	678
142	376	675
143	378	672
144	380	669
145	382	665
146	384	662
147	387	659
148	389	656
149	391	652
150	394	649
151	396	646
152	398	643
153	400	640
154	402	636
155	404	633
156	407	630
157	410	628
158	412	625
159	415	622
160	417	620
161	420	617
162	423	615
163	426	613
164	429	611
165	431	608
166	435	607
167	437	604
168	440	602
169	443	599
170	445	596
171	448	594
172	450	591
173	453	588
174	456	586
175	458	583
176	461	581
177	463	578
178	466	575
179	469	573
180	472	571
181	474	568
182	477	565
183	479	563
184	482	560
185	485	558
186	488	556
187	490	553
188	493	550
189	495	548
190	498	545
191	500	542
192	503	539
193	505	536
194	508	534
195	510	531
196	513	529
197	516	527
198	519	524
199	522	522
200	524	519
201	527	516
202	530	514
203	532	511
204	534	508
205	537	505
206	540	503
207	542	501
208	545	498
209	547	495
210	549	492
211	552	489
212	554	486
213	557	484
214	559	481
215	562	479
216	564	476
217	566	473
218	569	470
219	572	468
220	574	465
221	577	462
222	579	459
223	581	456
224	583	453
225	586	451
226	588	448
227	591	446
228	594	443
229	596	440
230	598	437
231	601	435
232	603	432
233	606	429
234	608	427
235	611	424
236	613	421
237	615	419
238	617	416
239	620	413
240	623	411
241	626	408
242	629	406
243	632	404
244	635	401
245	637	399
246	639	396
247	642	393
248	644	391
249	647	388
250	649	385
251	651	382
252	654	380
253	657	377
254	659	374
255	662	372
256	664	369
257	667	367
258	669	364
259	672	361
260	675	359
261	678	357
262	682	355
263	685	353
264	688	350
265	691	348
266	694	345
267	697	343
268	699	340
269	701	337
270	704	335
271	707	332
272	709	330
273	712	327
274	714	324
275	717	322
276	721	320
277	724	317
278	727	315
279	730	312
280	733	310
281	736	308
282	739	305
283	741	303
284	744	300
285	746	297
286	749	295
287	753	292
288	755	290
289	758	287
290	760	284
291	762	282
292	765	279
293	768	276
294	770	274
295	773	271
296	775	268
297	777	266
298	780	263
299	782	260
300	785	258
301	787	255
302	789	252
303	792	250
304	795	247
305	797	244
306	800	242
307	802	239
308	804	236
309	806	234
310	809	231
311	811	228
312	814	226
313	817	223
314	819	221
315	821	218
316	824	215
317	827	213
318	829	210
319	832	208
320	835	205
321	837	202
322	840	200
323	842	197
324	845	195
325	847	192
326	849	189
327	851	186
328	854	184
329	856	181
330	859	179
331	861	176
332	863	173
333	866	171
334	868	168
335	871	165
336	873	163
337	875	160
338	877	157
339	880	155
340	882	152
341	884	150
342	886	147
343	888	144
344	891	142
345	893	139
346	896	136
347	898	134
348	900	131
349	902	128
350	905	126
351	907	123
352	909	121
353	913	118
354	915	116
355	917	113
356	920	110
357	923	108
358	925	105
359	928	103
360	930	100
361	933	97
362	935	95
363	937	92
364	939	90
365	942	87
366	945	84
367	947	82
368	949	79
369	952	77
370	954	74
371	956	71
372	960	69
373	962	66
374	964	64
375	966	61
376	969	59
377	971	56
378	974	53
379	976	51
380	978	48
381	981	46
382	983	43
383	985	41
384	988	38
385	990	35
386	993	33
387	995	30
388	997	28
389	1000	25
390	1002	23
391	1005	20
392	1007	17
393	1010	15
394	1012	12
395	1015	10
396	1017	7
397	1019	5
398	1022	2
399	1024	0
