bp_delta,bp_theta,bp_alpha,bp_beta,entropy,mi,coh_alpha,pac,label,subject
3.4674206156773022e-12,9.58146085055879e-13,2.9702525135168566e-12,2.08523912170887e-13,3.9501584579449496,0.1174541935392708,0.3148936151000761,0.002018846269341826,0,1
4.9380344995245835e-12,1.4252643917077822e-12,2.7703619741117214e-12,2.2871378180803496e-13,3.918574179402979,0.18892030802248116,0.33127837502896573,-0.008608881055485395,0,1
4.201504594578658e-12,1.1638183735513972e-12,2.207553358495013e-12,2.1169522501834526e-13,4.019895656403383,0.15491187806033627,0.29419764683431426,-0.013258663049123907,0,1
4.384831513358526e-12,9.536607145662877e-13,2.3414991970508984e-12,1.8531462407686973e-13,3.9564629503950846,0.17633070505117077,0.3447426872325993,-0.006766748700828279,1,1
4.356976927778973e-12,8.320030181992331e-13,1.7129290398537607e-12,2.43531922837935e-13,3.913105861520429,0.17317361496047148,0.27923527789860647,-0.009670047857727336,0,1
3.3014924628988353e-12,1.6034351701173586e-12,3.0227251968694995e-12,2.3206021434586025e-13,3.804102533418215,0.14622454056899872,0.3343610845285249,0.00947589502025769,1,1
2.796627147418051e-12,8.088922198257543e-13,1.6365350555808791e-12,1.7281391049509795e-13,3.9796019673853493,0.13268845068944568,0.2991909544562625,-0.009899077404321503,0,1
3.641390475645273e-12,8.193901090915266e-13,1.637441852473978e-12,1.973786375038426e-13,3.9296088516617718,0.24024736579505251,0.24948895428253873,-0.010429573973958432,1,1
3.2103273116507624e-12,8.115823016301428e-13,1.5989732529901023e-12,2.288612757422615e-13,3.8211410431437636,0.15486064728569013,0.3054338252711575,0.0006433486277067941,1,1
6.0929182523978735e-12,6.858276481530881e-13,8.718808953245479e-13,1.590936518948552e-13,3.548024603578491,0.27872313137239996,0.23466921427396428,-0.000557857651812699,0,1
6.520762514955832e-12,9.797659471684154e-13,2.3442057150866937e-12,1.892934515965162e-13,3.8481575525069953,0.23694380147587282,0.3020151004743554,-0.0014455923926617277,0,1
4.042882138202234e-12,1.3177970562274056e-12,1.6692687793117865e-12,1.9292181756408176e-13,3.82978203399464,0.1466833914761256,0.28400118048327594,-0.00516048007826904,1,1
4.105749565129753e-12,1.0551053582643446e-12,1.7293353365582342e-12,1.8725003718206124e-13,3.9801314847988882,0.13806267692053,0.26999705845685484,0.008963536003698097,1,1
4.154664802661349e-12,1.0141738381971367e-12,1.7946146096316234e-12,1.880853676604476e-13,3.8131693359050414,0.20734592794347464,0.35099180707163485,-0.006663696551206467,1,1
3.0627371571962006e-12,8.269671088323955e-13,1.853633531018324e-12,2.426601344423333e-13,3.7300319578168226,0.19382071471843199,0.3794864743158792,-0.008805083562541071,0,1
6.903723265123274e-12,7.205449099574062e-13,1.1314348082574972e-12,1.899906547562554e-13,3.870012405323801,0.28269984038858914,0.27115877337657507,0.001999717164672428,0,1
4.3771142835312365e-12,1.1822512434141881e-12,3.966535252270893e-12,3.102839727484888e-13,3.666486922044392,0.3214207448832973,0.36778128091478945,-0.015978769868257962,1,1
5.423634338191137e-12,1.6233139646236797e-12,2.849382944447172e-12,2.836244283011095e-13,3.7317972517409808,0.22072537182834354,0.2722183083421789,0.0009543150143456689,1,1
3.445835535282784e-12,1.1690007762355986e-12,2.1299252063311674e-12,2.574543688580158e-13,3.7039818137058695,0.2800476245003375,0.2310724236737984,0.0025268099819273963,1,1
4.790850469648481e-12,8.068472809459361e-13,1.7900325498757418e-12,2.2506512063643398e-13,3.9666514380860276,0.29647492351287213,0.26978233541394664,-0.008065119071419975,0,1
3.875375339494226e-12,9.640669264699753e-13,1.6148967744107482e-12,2.3513766301608256e-13,3.6092980551740963,0.3800187535538083,0.26586925660957605,-0.006724869689180205,1,1
2.996560131042389e-12,1.0471670065978454e-12,1.941004284892672e-12,2.2161273245769322e-13,3.736953174460658,0.304011752104227,0.2952409709621851,-0.004095239238787589,0,1
4.408402993244445e-12,1.1393344836181425e-12,1.7192568901428292e-12,2.009650637963278e-13,3.530389203904528,0.4014806394181015,0.31222390996880856,-0.005036547010709063,1,1
2.383918301633026e-12,1.3835172268186838e-12,1.919896765989645e-12,2.4084453291950604e-13,3.5308241331673695,0.2710583086670895,0.2701856872943709,0.006046791434063667,1,1
3.3714786960524087e-12,1.1171953274792122e-12,1.936195108275923e-12,2.493337447473231e-13,3.762247864606358,0.35947864574757604,0.3295834088405299,0.001039036936630689,0,1
6.295286669311925e-12,9.655207928351037e-13,2.0067705409875007e-12,2.575632665888419e-13,3.771044674360132,0.23831344361861898,0.32338706671852224,-0.004509686073793024,0,1
6.618263854292921e-12,7.597520029280435e-13,3.142162905433624e-12,4.112464232046712e-13,3.715840962944516,0.2467924310081814,0.2708911841004702,0.00488132476996519,0,1
1.7641458261014309e-12,1.088420478370305e-12,1.5531639816934012e-12,2.383217742139635e-13,3.6309848996473564,0.18294963273963505,0.28176397911985873,0.010062270017537928,1,1
5.719905743644818e-12,7.699849181439196e-13,1.9708053143474428e-12,2.640923225078258e-13,3.6397566430834356,0.39419885746706895,0.31936586643782944,-0.00036241623596553455,1,1
5.521987563061151e-12,9.799118070137208e-13,2.014025081717496e-12,2.4521012645934773e-13,3.6446990402387813,0.39516528517751204,0.29618663448710875,0.002362088743387997,0,1
1.1454537376561101e-11,1.2757551665683185e-12,1.8330416807265724e-12,2.2380107492004753e-13,3.8920770895073336,0.47992700090697993,0.2379962346879445,-0.004113517111310515,0,1
5.1094204843940524e-12,8.57341691777818e-13,2.6724193743925644e-12,2.3053130235414655e-13,3.938588795378359,0.1870990550838021,0.38146343319228665,0.0027724927267462627,0,2
9.590299213901921e-12,9.448040724335024e-13,3.5229315987103773e-12,2.441654096898803e-13,3.933665064115364,0.20064883839512157,0.4429902338512319,-0.0014226657819692802,0,2
3.867035496628835e-12,9.569376305984438e-13,2.137878481408201e-12,2.5957464884195243e-13,3.936460351174612,0.20815008760955997,0.3272246664685408,0.007877850571238016,1,2
7.1400507842371745e-12,8.633390052229176e-13,2.597627554341782e-12,2.8265238773658964e-13,3.7523240290003272,0.2041115367428545,0.38713124175233554,-0.004483134786419006,1,2
7.596893715229423e-12,9.189472227562129e-13,2.416860651841284e-12,3.1091044966584684e-13,3.991322569761926,0.22706370485121916,0.35267321440240984,-0.0011643079330096364,1,2
7.553248862991202e-12,1.1334410551257726e-12,2.5068274126013937e-12,2.917228372746375e-13,3.8222997211520013,0.21458818442790167,0.40179300133934137,0.0036427091749791276,1,2
4.79762478616162e-12,1.1732820327312226e-12,2.266444872043434e-12,2.81350441009007e-13,4.036451495347963,0.1791085585955652,0.36767629495247,0.005631769642935486,1,2
6.0770932282751996e-12,1.0813293969870803e-12,2.5419536391140186e-12,2.5996999595533864e-13,3.7643529625590815,0.25243375957123537,0.37418812588966816,0.00145062437360792,1,2
3.0608500619680743e-12,1.2801527046683292e-12,3.5947480187223998e-12,1.8540121534509356e-13,3.8746134970712047,0.21578376829542584,0.4536163407821833,0.004830835834211269,0,2
2.57880847227101e-12,5.986750467467229e-13,3.348250378728449e-12,1.4039793479197976e-13,3.905726293284256,0.14644786952424727,0.46108629502332726,-0.007400923048663983,0,2
4.534871158588224e-12,7.109281002296275e-13,2.663853181048775e-12,1.5986827906859376e-13,3.965796506045652,0.20113888158972976,0.40833198403499127,-0.010653353392528353,0,2
7.489262567215637e-12,7.898371929630347e-13,2.7858229113804684e-12,1.7069626005411367e-13,4.007781256872226,0.32434263587608597,0.44777884548769586,0.000834933876700852,1,2
4.244805497642315e-12,1.1846789200505963e-12,2.685836025279221e-12,1.9200483913681926e-13,3.9949384827180596,0.22606451944539438,0.4161761202712509,0.004731453559761487,1,2
2.912506607002054e-12,1.0039844894665756e-12,1.9134067431445357e-12,1.9706630399860658e-13,3.935555872174561,0.20003162946462147,0.32177027168042927,-0.0052326848447962725,1,2
3.054474551968458e-12,9.655356553332362e-13,2.2569818587950724e-12,1.840401637394235e-13,4.000593045134109,0.11775693148640715,0.3095786304571487,-0.008524126807229152,1,2
