Frontal_logbp_delta,Frontal_relbp_delta,Frontal_logbp_theta,Frontal_relbp_theta,Frontal_logbp_alpha,Frontal_relbp_alpha,Frontal_logbp_beta,Frontal_relbp_beta,Frontal_theta_beta,Frontal_alpha_theta,Central_logbp_delta,Central_relbp_delta,Central_logbp_theta,Central_relbp_theta,Central_logbp_alpha,Central_relbp_alpha,Central_logbp_beta,Central_relbp_beta,Central_theta_beta,Central_alpha_theta,Parietal_logbp_delta,Parietal_relbp_delta,Parietal_logbp_theta,Parietal_relbp_theta,Parietal_logbp_alpha,Parietal_relbp_alpha,Parietal_logbp_beta,Parietal_relbp_beta,Parietal_theta_beta,Parietal_alpha_theta,Occipital_logbp_delta,Occipital_relbp_delta,Occipital_logbp_theta,Occipital_relbp_theta,Occipital_logbp_alpha,Occipital_relbp_alpha,Occipital_logbp_beta,Occipital_relbp_beta,Occipital_theta_beta,Occipital_alpha_theta,label,subject
-22.394045579163024,0.3275398220814821,-22.830518794991843,0.08019850523148853,-22.67618919407325,0.15562268365640378,-22.891649214892407,0.053396400739126056,0.18862388197958319,0.3443140153260542,-22.726625807830978,0.18328241021645636,-22.934918669930294,0.05001970438066519,-22.703069692296882,0.20017547748706407,-22.949647965363493,0.04160562351190811,0.088210191275459,0.3478497251187053,-22.732526111139435,0.15982140025176836,-22.937900376402872,0.0431034852158693,-22.554391218819646,0.28240419796551336,-22.920601058808735,0.05203701214029066,0.08274987088587257,0.5516188314750796,-22.798648602819647,0.07500706645380896,-22.850155147724475,0.056479517350375784,-22.0863972376481,0.4582994594081885,-22.774765338480453,0.08392742366920972,0.14942613148019795,1.30745364277916,0,1
-22.29421901103275,0.36811882305764304,-22.794312955761374,0.08893030734313598,-22.67500785326886,0.14345071018195246,-22.872789000539345,0.05645573708565371,0.22356086398961594,0.33340105945120657,-22.83378340298604,0.11781195765274184,-22.882895141255865,0.08550176901043886,-22.72853546589135,0.19263637459735902,-22.93216957543657,0.05464063805316878,0.13993574069255932,0.30011813019461697,-22.891810895733602,0.07795413262892888,-22.907467996879934,0.06830025334381985,-22.641174911195325,0.25496113445551677,-22.91654759342836,0.0627707947792501,0.11266249344873731,0.4167617072329869,-22.624233960831088,0.14712144188663712,-22.866713805431747,0.051348164571733974,-22.18830414152737,0.3901570992413646,-22.755607232369165,0.09236300606507059,0.1316498943735787,1.1178616977552978,0,1
-22.353210299851764,0.33700687585001254,-22.797700308939536,0.09002071008678356,-22.649322695112375,0.16060499681166596,-22.882881113234156,0.05398792847333042,0.22213369843300354,0.3639464713117297,-22.799165028066568,0.14604683514711633,-22.88940278731662,0.08391657854546376,-22.80432886043265,0.14233820357498203,-22.929678507389415,0.05794492925175268,0.13279039629162268,0.2163459929983647,-22.747350068272986,0.1462844528168661,-22.928551568079055,0.04654819840874072,-22.529377428295113,0.2928521433607592,-22.896227241916154,0.06304187209047347,0.0897665900588799,0.5833088084396378,-22.612390716594263,0.1699689159064532,-22.894343255477725,0.04665363963951757,-22.36161309878183,0.31302632469875596,-22.752294578992323,0.10444006026368322,0.10690955405811843,0.8268044511622679,0,1
-22.427611636836314,0.30548135960047557,-22.861467441651225,0.06664832131758985,-22.60033820854682,0.19784709417986515,-22.899761112998625,0.050129625661619374,0.15750065688527795,0.4499788486109132,-22.672459826223548,0.22317695197843102,-22.90653365586964,0.06672193435602898,-22.78716651762343,0.14193269217924037,-22.937046798764232,0.048894244141081455,0.11595865921554689,0.23925736063920824,-22.700765124777327,0.16374628018788748,-22.928351381954634,0.043653356370049176,-22.47093496976641,0.3161949585848933,-22.904730726931504,0.054885069002766254,0.09072866704612266,0.6728839214131602,-22.79690190669738,0.07372499343453466,-22.866251157937473,0.04958632646829253,-22.084112907225514,0.4483008829298835,-22.707814291422785,0.10729485519498848,0.12590071444259465,1.333656881625244,1,1
-22.275840396914734,0.38362933559045637,-22.810457906173465,0.08254538552048131,-22.79479439610205,0.08927033119519015,-22.813134791943973,0.08140659812255122,0.19429489722884105,0.20956231335027692,-22.71227976340324,0.21010974186595943,-22.94544584628354,0.04776407338955085,-22.864590511196116,0.0998289806165971,-22.915197152046616,0.06675089277095991,0.07495556919323529,0.16147155472266989,-22.689736131773746,0.1848597339257214,-22.927496624916063,0.047824635374186505,-22.602208480851033,0.24409617781136925,-22.900441973471487,0.06182600934812851,0.09117197382582506,0.4781017732667004,-22.775606344303828,0.08586110760214315,-22.82419720254023,0.06746673231258825,-22.28259513115947,0.3330001646048315,-22.609688707005322,0.15585469692082907,0.14736469243884634,0.9013803165044914,0,1
-22.680209157305487,0.16442984337953712,-22.72070369215241,0.1421001537787791,-22.58181589631196,0.22260750056523537,-22.84881915524335,0.07712580635829838,0.2989310754491487,0.41198032076697555,-22.86541927002057,0.1018531001750353,-22.866975628969527,0.1007844694193369,-22.79098977831882,0.15494927927918872,-22.918991527661728,0.06600925184220856,0.15474047740944727,0.22584457422780152,-22.848483982003078,0.08354408346560696,-22.891465188697257,0.06191852104927091,-22.411562041953683,0.3651993403295099,-22.87942079776848,0.06788509464480925,0.1242417713305263,0.7416651234999618,-22.80380470050668,0.07162588406932262,-22.763054033315946,0.08658704029298783,-22.14750263657534,0.4053103714896524,-22.67266924947715,0.12202912263181254,0.21113002654857693,1.0817787281714015,1,1
-22.800213323592363,0.14177351224192117,-22.865072619192507,0.0976953346043851,-22.84737010806402,0.10944365721069484,-22.896629886568565,0.0772612069625829,0.15328078165053544,0.16637931495391642,-22.905391920075203,0.08589023761377586,-22.934902625113917,0.06388193795160656,-22.862065419245972,0.11940183491063373,-22.942424951804878,0.058375094375704005,0.08759150922155753,0.1624905178211218,-22.910713065458246,0.07639272645947544,-22.90938556671133,0.07732580513056461,-22.781921945160818,0.1729418905830533,-22.943265351442694,0.0538955571963714,0.11372760176815787,0.24588261834557185,-22.841891595611376,0.0833943678239921,-22.859578517208952,0.07469342735587618,-22.450799610746714,0.32092338371530277,-22.83207267453083,0.08829155403095754,0.14902843217186965,0.6581634231434446,0,1
-22.511839188087126,0.2878586705135781,-22.888612696395576,0.06301389285801448,-22.73789660588376,0.14294567626139945,-22.873690346306404,0.0704014853396779,0.1263380840710667,0.29090400084629575,-22.877161001079354,0.09942635893688476,-22.931347402979583,0.06146999433446568,-22.787699956867968,0.16677248045791526,-22.942479304113313,0.05392378133957023,0.09118490678703753,0.2446524957012413,-22.815394825083807,0.12791702421051865,-22.94310857389477,0.047106919440748164,-22.701340636204517,0.2093459588060443,-22.895174572228232,0.07623381608116357,0.07569496928971158,0.3529103268114617,-22.85891736085486,0.06550594189977889,-22.9197733568908,0.04035016650418002,-22.22504361758922,0.4425353941493691,-22.84428596892421,0.07178578387176322,0.09332735710027978,1.10381274362799,1,1
-22.64416848979892,0.23985727428149753,-22.882504240944755,0.07954688867829164,-22.885245360774967,0.07791637656076883,-22.894590109016978,0.07239127015880407,0.13517018981781684,0.13080900672762433,-22.792799758054606,0.16866873659716033,-22.93991403714358,0.05767249487294434,-22.907117693367045,0.08102228331001689,-22.946600486328546,0.05300524734547198,0.08290031986808893,0.1156879318210753,-22.862598055241378,0.11052512472680455,-22.929224259565807,0.06322899322922576,-22.802329156022275,0.15610930312641488,-22.94291972142138,0.053891320000742156,0.09337521258004339,0.22740303587592775,-22.838352980029217,0.09656238595917148,-22.9102991706699,0.0573549262767296,-22.603325418045976,0.2462009873427859,-22.832111176826704,0.10009874474784097,0.10091826870160123,0.4684308293751005,1,1
-22.073802721029974,0.5232625442397775,-22.843359400701466,0.06584444458255694,-22.90844524507492,0.04097125547277672,-22.908449435062764,0.04096970577533232,0.17802700873555113,0.10379532319455516,-22.876613045023067,0.10751901011982287,-22.956763749366225,0.047784005902362425,-22.876593478455657,0.10753418512017118,-22.931675257864327,0.06596989945350328,0.06510074418478308,0.15022621998566238,-22.76248770971722,0.183384929133671,-22.954106554682767,0.0452715768437301,-22.85678483823651,0.11211181663254241,-22.942220114240826,0.0530907206564688,0.06841316587445156,0.171446124316322,-22.69962952922641,0.1770954301548488,-22.93521290511081,0.043558575903411785,-22.72465988036066,0.1613682104179734,-22.80102063076893,0.11575059549957614,0.07577018041787509,0.32101224268174416,0,1
